id,c000,ca01,ca02,ca03,ce01,ce02,ce03,cns01,cns02,cns03,cns04,cns05,cns06,cns07,cns08,cns09,cns10,cns11,cns12,cns13,cns14,cns15,cns16,cns17,cns18,cns19,cns20,cr01,cr02,cr03,cr04,cr05,cr07,ct01,ct02,cd01,cd02,cd03,cd04,cg01,cg02,longitude,latitude,sum_workers
060411141001018,19,2,9,8,9,3,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,14,2,0,14,0,1,2,0,2,14,5,5,2,4,6,5,14,-122.59062819280395,37.984420125414935,150
060411141001029,3,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,1,2,0,3,-122.58968428791776,37.986296366641156,24
060411141001016,42,11,25,6,33,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,7,0,20,0,0,31,2,1,7,0,1,33,9,5,11,5,10,13,29,-122.58879244766746,37.98590637581894,325
060411042003002,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,-122.58081588613986,38.07385273365633,8
060411141001015,76,23,34,19,33,17,26,0,0,0,0,0,8,13,0,0,0,0,11,0,6,1,0,0,21,16,0,67,2,1,4,1,1,71,5,5,4,13,31,39,37,-122.58765948445831,37.98548689686333,585
060411141001008,21,9,8,4,14,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,18,1,0,2,0,0,15,6,1,3,3,5,12,9,-122.58955171850306,37.986891325254255,159
060411141001019,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1,1,1,-122.59198137835189,37.9827046673187,16
060411141001031,29,15,5,9,3,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,24,4,0,0,0,1,24,5,2,1,4,7,8,21,-122.59075515709883,37.9770741616611,217
060411141001023,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-122.58672721440655,37.98389710138751,8
060411141001009,42,7,23,12,24,11,7,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,34,0,0,32,0,1,7,1,1,33,9,7,9,8,11,19,23,-122.58809999833748,37.98673352597424,329
060411141001030,7,2,4,1,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,4,1,0,2,0,0,5,2,1,0,2,2,2,5,-122.59489614763255,37.97852890350778,54
060411141001004,75,27,33,15,16,24,35,0,0,0,6,0,0,43,0,0,0,0,25,0,0,0,0,0,0,1,0,66,1,0,5,1,2,62,13,6,13,14,15,39,36,-122.59025557568465,37.98737922748806,573
060411141001024,5,0,2,3,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,4,1,3,0,0,2,4,1,-122.58939357817566,37.98136752954341,40
060411141001026,36,3,27,6,14,10,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2,32,1,0,0,0,0,32,0,0,3,0,1,32,4,2,6,4,21,7,29,-122.58600051421826,37.979300217792265,285
060411141002002,28,5,15,8,12,7,9,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,5,1,10,0,0,24,1,0,2,0,1,17,11,5,6,5,7,16,12,-122.59952562820445,37.98563801337416,219
060411141002006,22,4,11,7,3,6,13,0,0,0,6,0,0,2,0,0,0,0,1,0,13,0,0,0,0,0,0,20,1,0,1,0,0,12,10,5,3,3,7,13,9,-122.59739881676545,37.97788380344054,172
060411141002005,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,1,0,0,1,2,0,3,-122.5975885226022,37.98024525378278,24
060411141002004,18,3,11,4,12,1,5,0,0,0,11,0,0,1,0,0,0,0,2,0,0,0,4,0,0,0,0,17,0,0,0,0,1,11,7,3,2,6,4,8,10,-122.5991427758964,37.977192103486715,141
060411141003019,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,-122.5930446474272,37.9864247048343,8
060411141003005,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,-122.59619837731906,37.992777874723565,8
060411141003023,6,1,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,1,6,0,0,0,3,2,4,2,-122.59274439066702,37.989150991393174,47
